grandeur,reference,pdf,recalcul,ecart,tolerance_arrondi,conforme_arrondi
volume_total_m3,2.11,0.649565,0.6495651218341862,1.2183418629518883e-07,5e-07,True
volume_gaz_m3,2.11,0.129913,0.12991302436683724,2.436683724238442e-08,5e-07,True
volume_tube_m3,2.12,0.006267,0.006267079832060702,7.983206070164006e-08,5e-07,True
volume_utile_m3,2.13,0.513385,0.5133850176352883,1.7635288340756006e-08,5e-07,True
trh_j,2.14,25.67,25.669250881764416,-0.0007491182355856552,0.005,True
K_enveloppe_W_K,2.17,3.0025,3.0024972949474944,-2.7050525055472008e-06,5e-06,True
pertes_enveloppe_W,tableau pertes,45.04,45.037459424212415,-0.002540575787584487,0.005,True
alimentation_kWh_j,2.19,0.3483,0.34833333333333333,3.333333333332966e-05,5e-05,True
maintien_W,2.21,59.55,59.5513483131013,0.0013483131013032335,0.005,True
longueur_helice_m,2.23,30.1699,30.169897938249562,-2.0617504361553074e-06,5e-05,True
surface_active_m2,2.24,1.5165,1.5165044755577388,4.475557738858882e-06,5e-06,True
debit_eau_kg_s,2.27,0.00992,0.009919999999999998,-1.734723475976807e-18,5e-06,True
C_eau_W_K,2.27,41.4656,41.465599999999995,-7.105427357601002e-15,5e-05,True
vitesse_eau_m_s,2.28,0.06496,0.06496120126199809,1.201261998082237e-06,5e-06,True
Re,2.28,1382,1381.5944305155122,-0.4055694844878417,0.5,True
hw_W_m2K,2.29,164.7,164.7,0.0,0.05,True
resistance_fixe_m2K_W,2.31,0.0091704,0.009170405948250531,5.948250531018218e-09,5e-08,True
U_W_m2K,2.32,34.281,34.281319285512865,0.0003192855128659744,0.0005,True
UA_W_K,2.32,51.99,51.987774124504085,-0.002225875495916796,0.005,True
G_W_K,2.35,29.63,29.630053003100564,5.3003100564552597e-05,0.0005,True
puissance_consigne_W,2.35,296.3,296.3005300310056,0.0005300310056099988,0.005,True
sortie_eau_C,2.35,37.85,37.85430501352915,0.004305013529148027,0.005,True
De,2.36,211.04,211.0420352522247,0.002035252224715123,0.005,True
f_Darcy,2.37,0.09179,0.09178863883227922,-1.3611677207731043e-06,5e-06,True
dp_helice_Pa,2.38,414.0,414.0230362631076,0.023036263107599098,0.05,True
dp_droits_Pa,2.39,34.6,34.628297489048784,0.028297489048782154,0.05,True
dp_total_Pa,2.5.4,3490.5,3490.5133138326223,0.013313832622316113,0.05,True
dp_selection_Pa,2.41,4363,4363.141642290778,0.14164229077778145,0.5,True
hauteur_selection_m,2.41,0.448,0.4483515054473276,0.0003515054473275936,0.0005,True
capacite_J_K,2.43,2210950,2210949.3737155055,-0.6262844945304096,5,True
equilibre_C,2.6.1,42.7,42.69976812452266,-0.00023187547733982683,0.005,True
demarrage_h,2.6.1,20.35,20.347781085291725,-0.0022189147082762872,0.005,True
temperature_apres_apport_C,2.45,34.416,34.41564325078703,-0.00035674921296902085,0.0005,True
recuperation_h,2.6.2,1.38,1.3767160580248816,-0.0032839419751182763,0.005,True
total_previsionnel_kWh_j,2.6.3,2.15,2.149232359514431,-0.0007676404855687657,0.005,True
