hb_W_m2K,temps_h,temperature_non_regulee_C
10,0.0,20.0
10,0.25,20.119761707829607
10,0.5,20.238803767089294
10,0.75,20.35713050215013
10,1.0,20.474746211398017
10,1.25,20.591655167389842
10,1.5,20.707861617008678
10,1.75,20.823369781618066
10,2.0,20.93818385721535
10,2.25,21.052308014584113
10,2.5,21.16574639944569
10,2.75,21.27850313260975
10,3.0,21.390582310124003
10,3.25,21.501988003422998
10,3.5,21.612724259476014
10,3.75,21.72279510093407
10,4.0,21.832204526276072
10,4.25,21.940956509954034
10,4.5,22.049055002537493
10,4.75,22.156503930856985
10,5.0,22.263307198146702
10,5.25,22.369468684186295
10,5.5,22.474992245441804
10,5.75,22.579881715205747
10,6.0,22.684140903736374
10,6.25,22.787773598396072
10,6.5,22.89078356378896
10,6.75,22.99317454189763
10,7.0,23.094950252219096
10,7.25,23.19611439189989
10,7.5,23.296670635870377
10,7.75,23.39662263697826
10,8.0,23.495974026121253
10,8.25,23.594728412379002
10,8.5,23.692889383144173
10,8.75,23.790460504252778
10,9.0,23.887445320113706
10,9.25,23.983847353837483
10,9.5,24.07967010736424
10,9.75,24.174917061590946
10,10.0,24.269591676497846
10,10.25,24.363697391274144
10,10.5,24.45723762444294
10,10.75,24.550215773985432
10,11.0,24.642635217464317
10,11.25,24.734499312146518
10,11.5,24.825811395125122
10,11.75,24.91657478344061
10,12.0,25.00679277420135
10,12.25,25.096468644703386
10,12.5,25.185605652549462
10,12.75,25.274207035767382
10,13.0,25.36227601292763
10,13.25,25.44981578326029
10,13.5,25.536829526771246
10,13.75,25.623320404357735
10,14.0,25.709291557923123
10,14.25,25.794746110491094
10,14.5,25.87968716631905
10,14.75,25.964117811010915
10,15.0,26.048041111629196
10,15.25,26.13146011680641
10,15.5,26.214377856855833
10,15.75,26.29679734388157
10,16.0,26.37872157188799
10,16.25,26.460153516888475
10,16.5,26.541096137013525
10,16.75,26.621552372618225
10,17.0,26.701525146389066
10,17.25,26.781017363450093
10,17.5,26.860031911468447
10,17.75,26.93857166075927
10,18.0,27.01663946438997
10,18.25,27.094238158283865
10,18.5,27.171370561323197
10,18.75,27.24803947545152
10,19.0,27.324247685775525
10,19.25,27.399997960666155
10,19.5,27.47529305185923
10,19.75,27.550135694555355
10,20.0,27.624528607519323
10,20.25,27.69847449317885
10,20.5,27.771976037722748
10,20.75,27.845035911198522
10,21.0,27.917656767609337
10,21.25,27.98984124501046
10,21.5,28.061591965605054
10,21.75,28.13291153583947
10,22.0,28.203802546497904
10,22.25,28.274267572796518
10,22.5,28.344309174476997
10,22.75,28.41392989589952
10,23.0,28.483132266135208
10,23.25,28.551918799057976
10,23.5,28.62029199343585
10,23.75,28.688254333021767
10,24.0,28.755808286643777
10,24.25,28.822956308294728
10,24.5,28.889700837221422
10,24.75,28.95604429801321
